journal_name,issn,field,n_articles,n_with_review_time,median_days_submission_to_acceptance,p25_review,p75_review,mean_days_submission_to_acceptance,median_days_acceptance_to_publication,median_days_total,data_sources,publisher,sjr_rank,sjr_score,primary_area,mega_domain
Biopharmaceutics and Drug Disposition,1099-081X,General & Internal Medicine,104,104,123.5,83.75,176.75,138.5096153846154,24.0,143.5,"crossref_assertion, pubmed",John Wiley and Sons Ltd,9851,0.589,Medicine,Health Sciences
Complementary Therapies in Clinical Practice,1744-3881,General & Internal Medicine,100,100,123.5,69.75,190.5,135.49,,,pubmed,Churchill Livingstone,5515,0.92,Medicine,Health Sciences
Acta Neurologica Taiwanica,1028-768X,General & Internal Medicine,60,59,123.0,58.5,168.0,131.20338983050848,,,pubmed,Neurological Society R.O.C (Taiwan),19209,0.237,Medicine,Health Sciences
Acta Obstetricia et Gynecologica Scandinavica,1600-0412,General & Internal Medicine,103,103,123.0,83.5,165.0,125.74757281553399,46.0,215.0,"crossref_assertion, pubmed",Wiley-Blackwell,3195,1.274,Medicine,Health Sciences
Advances in Clinical and Experimental Medicine,1899-5276,General & Internal Medicine,100,100,123.0,78.5,204.25,150.68,,,pubmed,Wroclaw Medical University,9700,0.598,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Chinese Medicine (United Kingdom),1749-8546,General & Internal Medicine,104,104,123.0,83.75,154.5,126.4423076923077,14.0,158.0,"crossref_assertion, pubmed",BioMed Central Ltd,4348,1.066,Medicine,Health Sciences
Clinical Interventions in Aging,1178-1998,General & Internal Medicine,100,100,123.0,105.75,144.25,125.91,19.0,105.0,pubmed,Dove Medical Press Ltd.,4023,1.117,Medicine,Health Sciences
Acta Ophthalmologica,1755-375X,General & Internal Medicine,145,145,122.0,79.0,188.0,138.4344827586207,15.0,150.0,"crossref_assertion, pubmed",John Wiley and Sons Inc,2723,1.393,Medicine,Health Sciences
Blood Purification,0253-5068,General & Internal Medicine,100,100,122.0,83.75,183.25,136.38,91.0,192.0,pubmed,S. Karger AG,10669,0.545,Medicine,Health Sciences
Current Hypertension Reviews,1875-6506,General & Internal Medicine,100,100,122.0,89.75,155.5,126.24,44.0,154.0,pubmed,Bentham Science Publishers,15041,0.354,Medicine,Health Sciences
Expert Opinion on Drug Safety,1474-0338,General & Internal Medicine,103,103,122.0,92.0,186.0,145.126213592233,18.0,154.0,crossref_assertion,Taylor and Francis Ltd.,6958,0.785,Medicine,Health Sciences
Journal of Taibah University Medical Sciences,1658-3612,General & Internal Medicine,100,100,122.0,75.75,196.75,133.6,,,pubmed,Elsevier B.V.,11989,0.48,Medicine,Health Sciences
Plant and Cell Physiology,0032-0781,General & Internal Medicine,100,84,122.0,76.0,162.0,129.64285714285714,,,pubmed,Oxford University Press,2734,1.391,Agricultural and Biological Sciences,Life Sciences
Alcohol and Alcoholism,0735-0414,General & Internal Medicine,100,99,121.0,80.5,202.0,149.42424242424244,,,pubmed,Oxford University Press,7394,0.75,Medicine,Health Sciences
Epigenetics,1559-2308,General & Internal Medicine,100,100,121.0,93.75,169.0,135.35,12.0,140.0,crossref_assertion,Taylor and Francis Ltd.,4304,1.071,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Research in Microbiology,0923-2508,General & Internal Medicine,100,100,121.0,79.75,161.25,131.21,57.0,178.0,pubmed,Elsevier Masson s.r.l.,6634,0.813,"Biochemistry, Genetics and Molecular Biology",Life Sciences
BMC Urology,1471-2490,General & Internal Medicine,102,102,120.5,78.75,173.0,145.40196078431373,119.0,265.0,"crossref_assertion, pubmed",BioMed Central Ltd,9794,0.593,Medicine,Health Sciences
Hematology/ Oncology and Stem Cell Therapy,2589-0646,General & Internal Medicine,102,100,120.5,69.75,204.25,154.72,,726.0,"crossref_assertion, pubmed",Wolters Kluwer Health,10507,0.554,Medicine,Health Sciences
Annals of Clinical Microbiology and Antimicrobials,1476-0711,General & Internal Medicine,100,100,120.0,79.75,190.25,142.24,,,pubmed,BioMed Central Ltd,5101,0.968,Medicine,Health Sciences
Environmental Technology (United Kingdom),1479-487X,General & Internal Medicine,101,101,120.0,91.0,182.0,155.64356435643563,18.0,148.0,crossref_assertion,Taylor and Francis Ltd.,10772,0.54,Environmental Science,Physical Sciences
Journal of Human Nutrition and Dietetics,0952-3871,General & Internal Medicine,101,101,120.0,86.0,164.0,137.27722772277227,13.0,81.0,"crossref_assertion, pubmed",Taylor and Francis Ltd.,6031,0.868,Medicine,Health Sciences
Kidney360,2641-7650,General & Internal Medicine,129,129,120.0,84.0,162.0,127.31782945736434,15.0,136.0,"crossref_assertion, pubmed",Lippincott Williams and Wilkins,5068,0.971,Medicine,Health Sciences
Cancer Science,1349-7006,General & Internal Medicine,106,106,119.5,77.0,149.5,119.11320754716981,22.0,26.5,"crossref_assertion, pubmed",Wiley-Blackwell,2006,1.661,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Chinese Journal of Natural Medicines,1875-5364,General & Internal Medicine,100,100,119.5,99.75,145.25,132.3,,,pubmed,China Pharmaceutical University,5361,0.938,Medicine,Health Sciences
The Lancet Healthy Longevity,2666-7568,General & Internal Medicine,100,100,119.5,20.5,153.0,100.95,,,pubmed,Elsevier Ltd,282,5.166,Medicine,Health Sciences
BMC Pharmacology and Toxicology,2050-6511,General & Internal Medicine,103,103,119.0,77.0,177.0,152.35922330097088,76.0,164.0,"crossref_assertion, pubmed",BioMed Central Ltd,6619,0.814,Medicine,Health Sciences
Frontiers of Medicine,2095-0225,General & Internal Medicine,132,132,119.0,87.75,141.5,112.8409090909091,164.0,289.0,"crossref_assertion, pubmed",Springer Science + Business Media,3282,1.254,Medicine,Health Sciences
Japan Journal of Nursing Science,1742-7924,General & Internal Medicine,104,104,118.5,90.0,163.25,129.18269230769232,28.0,131.0,"crossref_assertion, pubmed",Blackwell Publishing Asia,9464,0.613,Medicine,Health Sciences
Multiple Sclerosis and Related Disorders,2211-0356,General & Internal Medicine,100,100,118.5,83.5,187.25,149.53,,,pubmed,Elsevier B.V.,4460,1.05,Medicine,Health Sciences
BJS Open,2474-9842,General & Internal Medicine,100,100,118.0,73.5,157.25,122.82,,,pubmed,Oxford University Press,3362,1.241,Medicine,Health Sciences
Basic and Clinical Pharmacology and Toxicology,1742-7843,General & Internal Medicine,102,102,118.0,82.25,160.5,127.18627450980392,12.5,34.0,"crossref_assertion, pubmed",Wiley-Blackwell,6530,0.822,Medicine,Health Sciences
British Journal of General Practice,1478-5242,General & Internal Medicine,100,100,118.0,83.0,154.25,121.22,,,pubmed,Royal College of General Practitioners,2803,1.371,Medicine,Health Sciences
Canadian Journal of Ophthalmology,0008-4182,General & Internal Medicine,100,100,118.0,82.25,167.0,136.31,,,pubmed,Elsevier B.V.,10070,0.576,Medicine,Health Sciences
European Journal of Radiology,1872-7727,General & Internal Medicine,100,100,118.0,84.0,181.75,149.13,,,pubmed,Elsevier Ireland Ltd,4805,1.003,Medicine,Health Sciences
Journal of Pediatric Orthopaedics,1539-2570,General & Internal Medicine,113,113,118.0,88.0,149.0,127.8141592920354,37.0,173.0,"crossref_assertion, pubmed",Lippincott Williams and Wilkins Ltd.,8768,0.655,Medicine,Health Sciences
Physiology International,2498-602X,General & Internal Medicine,100,100,118.0,86.25,150.5,126.21,,,pubmed,Akademiai Kiado,14976,0.356,Health Professions,Health Sciences
Toxicology Letters,0378-4274,General & Internal Medicine,100,100,118.0,81.75,156.0,121.77,,,pubmed,Elsevier Ireland Ltd,7170,0.767,Medicine,Health Sciences
Turkish Journal of Medical Sciences,1300-0144,General & Internal Medicine,100,99,118.0,70.5,253.0,156.94949494949495,49.0,172.5,pubmed,TUBITAK,14157,0.386,Medicine,Health Sciences
World Journal of Experimental Medicine,2220-315X,General & Internal Medicine,100,100,118.0,85.25,143.25,118.49,,,pubmed,Baishideng Publishing Group,12323,0.464,Medicine,Health Sciences
World Journal of Traditional Chinese Medicine,2311-8571,General & Internal Medicine,103,103,118.0,75.0,167.0,134.88349514563106,229.5,409.0,crossref_assertion,Wolters Kluwer Medknow Publications,11188,0.52,Medicine,Health Sciences
European Surgical Research,1421-9921,General & Internal Medicine,100,100,117.5,73.5,155.0,130.86,60.0,203.0,pubmed,S. Karger AG,10546,0.552,Medicine,Health Sciences
Acupuncture and Herbal Medicine,2097-0226,General & Internal Medicine,35,35,117.0,51.0,179.0,118.37142857142857,52.0,210.0,"crossref_assertion, pubmed",Wolters Kluwer,8289,0.686,Medicine,Health Sciences
European Journal of Applied Physiology,1439-6319,General & Internal Medicine,142,142,117.0,79.25,158.5,120.70422535211267,20.0,136.5,"crossref_assertion, pubmed",Springer Science and Business Media Deutschland GmbH,4400,1.06,Health Professions,Health Sciences
Journal of Pediatric and Adolescent Gynecology,1083-3188,General & Internal Medicine,100,100,117.0,81.75,143.5,115.76,,,pubmed,Elsevier Inc.,8354,0.683,Medicine,Health Sciences
Molecular Genetics and Genomics,1617-4615,General & Internal Medicine,107,107,117.0,84.0,167.5,138.99065420560748,17.0,152.0,"crossref_assertion, pubmed",Springer Science and Business Media Deutschland GmbH,10569,0.551,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Toxicology in Vitro,1879-3177,General & Internal Medicine,100,100,117.0,85.5,157.5,134.52,,,pubmed,Elsevier Ltd,7859,0.718,Medicine,Health Sciences
Clinical Autonomic Research,0959-9851,General & Internal Medicine,102,102,116.5,79.25,163.75,131.83333333333334,30.5,211.5,"crossref_assertion, pubmed",Springer Science and Business Media Deutschland GmbH,3659,1.179,Medicine,Health Sciences
Neurodegenerative Disease Management,1758-2024,General & Internal Medicine,100,100,116.5,86.5,162.25,135.32,13.0,135.0,crossref_assertion,Taylor and Francis Ltd.,5739,0.896,Medicine,Health Sciences
Carcinogenesis,0143-3334,General & Internal Medicine,100,100,116.0,86.75,161.25,132.8,,,pubmed,Oxford University Press,5004,0.978,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Journal of Neuro-Ophthalmology,1070-8022,General & Internal Medicine,2,2,116.0,96.0,136.0,116.0,,,pubmed,Lippincott Williams and Wilkins Ltd.,13051,0.433,Medicine,Health Sciences
Phytomedicine,0944-7113,General & Internal Medicine,100,100,116.0,89.75,150.25,127.95,,,pubmed,Elsevier GmbH,1925,1.694,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Pulmonary Medicine,2090-1844,General & Internal Medicine,101,101,116.0,76.0,184.0,138.6138613861386,22.0,113.5,"crossref_assertion, pubmed",John Wiley and Sons Ltd,10080,0.576,Medicine,Health Sciences
Cellular Oncology,2211-3436,General & Internal Medicine,100,100,115.5,89.75,147.25,129.17,,,pubmed,Springer Science and Business Media B.V.,2195,1.573,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Journal of Nutrition,1541-6100,General & Internal Medicine,100,100,115.5,71.0,148.5,114.03,,,pubmed,Elsevier B.V.,3822,1.152,Medicine,Health Sciences
Theranostics,1838-7640,General & Internal Medicine,100,100,115.5,66.75,144.25,116.24,22.0,118.0,pubmed,Ivyspring International Publisher,585,3.37,Medicine,Health Sciences
Cellular and Molecular Neurobiology,0272-4340,General & Internal Medicine,200,200,115.0,76.75,160.5,127.875,22.0,133.5,"crossref_assertion, pubmed",Springer,3431,1.225,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Journal of integrative bioinformatics,1613-4516,General & Internal Medicine,100,100,115.0,60.5,196.0,137.37,,,pubmed,Informationsmanagement in der Biotechnologie e.V. (IMBio e.V.),13413,0.417,Medicine,Health Sciences
International Journal for Vitamin and Nutrition Research,1664-2821,General & Internal Medicine,43,43,114.0,88.5,142.5,144.25581395348837,,,pubmed,IMR Press Limited,9600,0.604,Medicine,Health Sciences
Wiener Medizinische Wochenschrift,1563-258X,General & Internal Medicine,106,106,114.0,82.25,153.5,123.73584905660377,34.0,138.5,"crossref_assertion, pubmed",Springer-Verlag Wien,13031,0.434,Medicine,Health Sciences
International Journal of Antimicrobial Agents,0924-8579,General & Internal Medicine,100,100,113.5,76.75,172.5,125.99,,,pubmed,Elsevier B.V.,5222,0.955,Medicine,Health Sciences
International Journal of Surgery,1743-9191,General & Internal Medicine,100,100,113.5,21.75,153.25,102.92,,,pubmed,,1332,2.076,Medicine,Health Sciences
Medicina del Lavoro,0025-7818,General & Internal Medicine,100,100,113.5,49.5,162.75,126.72,,,pubmed,Mattioli 1885,7033,0.779,Medicine,Health Sciences
Neoplasma,1338-4317,General & Internal Medicine,100,100,113.5,77.75,157.25,121.04,,,pubmed,"AEPress, s.r.o.",8904,0.647,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Pharmacological Reports,1734-1140,General & Internal Medicine,103,103,113.0,80.0,158.0,127.81553398058253,10.0,145.0,"crossref_assertion, pubmed",Springer Science and Business Media Deutschland GmbH,5415,0.933,Medicine,Health Sciences
Journal of Applied Physiology,8750-7587,General & Internal Medicine,100,100,112.5,76.0,167.5,135.62,26.0,142.5,crossref_assertion,American Physiological Society,4255,1.078,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Acta Neurologica Scandinavica,1600-0404,General & Internal Medicine,200,200,112.0,65.0,234.0,164.89,27.5,270.0,"crossref_assertion, pubmed",John Wiley and Sons Inc,5282,0.947,Medicine,Health Sciences
Breast Cancer,1340-6868,General & Internal Medicine,103,103,112.0,75.0,151.5,120.64077669902913,15.0,63.0,"crossref_assertion, pubmed",Springer Japan,5226,0.954,Medicine,Health Sciences
Cancer Imaging,1740-5025,General & Internal Medicine,101,101,112.0,72.0,173.0,131.22772277227722,14.0,86.0,"crossref_assertion, pubmed",BioMed Central Ltd,5025,0.975,Health Professions,Health Sciences
Journal of the American Board of Family Medicine,1557-2625,General & Internal Medicine,100,100,112.0,82.75,145.5,124.04,,83.0,pubmed,American Board of Family Medicine,4639,1.024,Medicine,Health Sciences
Neuroscience Bulletin,1995-8218,General & Internal Medicine,127,127,112.0,72.0,134.0,110.1259842519685,84.0,194.0,"crossref_assertion, pubmed",Springer,2347,1.515,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Annals of Nutrition and Metabolism,1421-9697,General & Internal Medicine,100,100,111.5,78.0,187.0,133.84,80.0,137.5,pubmed,S. Karger AG,6443,0.829,Medicine,Health Sciences
Expert Opinion on Drug Metabolism and Toxicology,1742-5255,General & Internal Medicine,100,100,111.5,81.0,182.0,136.79,9.0,125.0,crossref_assertion,Taylor and Francis Ltd.,4944,0.986,Medicine,Health Sciences
Journal of Korean Medical Science,1598-6357,General & Internal Medicine,141,140,111.5,74.75,142.75,115.32142857142857,165.0,260.0,"crossref_assertion, pubmed",Korean Academy of Medical Science,7193,0.765,Medicine,Health Sciences
Pleura and Peritoneum,2364-768X,General & Internal Medicine,100,100,111.5,72.0,154.0,116.77,,,pubmed,Walter de Gruyter GmbH,10851,0.536,Medicine,Health Sciences
BJGP Open,2398-3795,General & Internal Medicine,100,100,111.0,51.75,147.0,111.76,,,pubmed,Royal College of General Practitioners,5873,0.881,Medicine,Health Sciences
Expert Opinion on Investigational Drugs,1354-3784,General & Internal Medicine,100,100,111.0,81.5,146.25,123.41,11.0,126.0,crossref_assertion,Taylor and Francis Ltd.,3223,1.267,Medicine,Health Sciences
Folia Histochemica et Cytobiologica,0239-8508,General & Internal Medicine,99,99,111.0,62.0,166.5,124.36363636363636,12.5,86.0,pubmed,Via Medica,10592,0.549,Medicine,Health Sciences
Journal of Nuclear Medicine,0161-5505,General & Internal Medicine,100,100,111.0,72.75,155.25,113.52,,,pubmed,Society of Nuclear Medicine Inc.,1176,2.224,Medicine,Health Sciences
Journal of the American Nutrition Association,2769-707X,General & Internal Medicine,103,103,111.0,70.5,152.5,127.20388349514563,18.0,128.0,crossref_assertion,Routledge,10723,0.543,Medicine,Health Sciences
Clinical Medicine Insights: Case Reports,1179-5476,General & Internal Medicine,100,100,110.5,69.5,161.25,127.18,17.0,105.5,pubmed,SAGE Publications Ltd,20493,0.212,Medicine,Health Sciences
Drug Delivery,1071-7544,General & Internal Medicine,100,100,110.5,80.5,146.5,119.23,14.0,129.0,crossref_assertion,Informa Healthcare,2770,1.38,Medicine,Health Sciences
Interdisciplinary Medicine,2832-6237,General & Internal Medicine,102,102,110.5,87.5,135.75,117.91176470588235,30.0,149.0,"crossref_assertion, pubmed",Wiley-VCH Verlag,764,2.903,Medicine,Health Sciences
BMC Surgery,1471-2482,General & Internal Medicine,101,101,110.0,73.0,170.0,146.23762376237624,3.0,130.0,"crossref_assertion, pubmed",BioMed Central Ltd,10158,0.572,Medicine,Health Sciences
Brain and Development,1872-7131,General & Internal Medicine,100,100,110.0,3.0,147.25,101.05,,,pubmed,Elsevier B.V.,10369,0.561,Medicine,Health Sciences
Japanese Journal of Ophthalmology,0021-5155,General & Internal Medicine,113,113,110.0,74.0,147.0,116.12389380530973,68.0,248.0,"crossref_assertion, pubmed",Springer,6382,0.834,Medicine,Health Sciences
Psychiatry and Clinical Neurosciences,1440-1819,General & Internal Medicine,101,101,110.0,65.0,153.0,113.36633663366337,32.0,88.0,"crossref_assertion, pubmed",Wiley-Blackwell Publishing Ltd,1702,1.826,Medicine,Health Sciences
Trends in Psychiatry and Psychotherapy,2238-0019,General & Internal Medicine,100,97,110.0,76.0,162.0,132.5979381443299,214.0,346.0,pubmed,Associacao de Psiquiatria do Rio Grande do Sul,6427,0.831,Medicine,Health Sciences
Chinese Clinical Oncology,2304-3873,General & Internal Medicine,100,100,109.0,84.75,140.5,115.41,,,pubmed,AME Publishing Company,9137,0.632,Medicine,Health Sciences
Internal Medicine Journal,1444-0903,General & Internal Medicine,103,103,109.0,58.5,184.0,132.92233009708738,30.0,88.0,"crossref_assertion, pubmed",John Wiley and Sons Inc,9944,0.584,Medicine,Health Sciences
Oncology Reports,1021-335X,General & Internal Medicine,100,99,108.0,67.5,160.5,117.91919191919192,,,pubmed,Spandidos Publications,5557,0.915,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Tissue and Cell,0040-8166,General & Internal Medicine,100,100,108.0,69.5,146.0,108.18,,,pubmed,Elsevier Ltd,8442,0.677,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Journal of Shoulder and Elbow Surgery,1532-6500,General & Internal Medicine,100,100,107.5,84.0,142.75,117.86,,,pubmed,Elsevier Inc.,1832,1.741,Health Professions,Health Sciences
Narra J,2807-2618,General & Internal Medicine,100,97,107.0,70.0,168.0,137.43298969072166,,,pubmed,,10880,0.534,Medicine,Health Sciences
Kaohsiung Journal of Medical Sciences,2410-8650,General & Internal Medicine,114,114,106.5,69.25,143.5,112.79824561403508,20.5,166.5,"crossref_assertion, pubmed",John Wiley and Sons Inc,6510,0.824,Medicine,Health Sciences
Revista de la Facultad de Ciencias Medicas de Cordoba,0014-6722,General & Internal Medicine,100,100,106.0,51.0,199.5,139.61,,,pubmed,Universidad Nacional de Cordoba,24874,0.146,Medicine,Health Sciences
Canadian Journal of Urology,1195-9479,General & Internal Medicine,97,96,105.5,86.75,136.0,114.85416666666667,,,pubmed,Canadian Journal of Urology,12697,0.448,Medicine,Health Sciences
Medical Hypotheses,0306-9877,General & Internal Medicine,100,100,105.5,75.75,152.5,119.51,,,pubmed,Churchill Livingstone,14135,0.387,Medicine,Health Sciences
Diseases of the Esophagus,1120-8694,General & Internal Medicine,100,93,105.0,59.0,160.0,116.93548387096774,,,pubmed,Wiley-Blackwell Publishing Ltd,4887,0.992,Medicine,Health Sciences
Journal of Family and Community Medicine,2229-340X,General & Internal Medicine,103,103,105.0,64.0,133.0,105.01941747572816,33.0,81.0,"crossref_assertion, pubmed",Wolters Kluwer Medknow Publications,12432,0.459,Medicine,Health Sciences
International Medical Case Reports Journal,1179-142X,General & Internal Medicine,100,100,104.5,84.75,129.0,110.39,5.0,73.5,pubmed,Dove Medical Press Ltd,20612,0.21,Medicine,Health Sciences
Libyan Journal of Medicine,1993-2820,General & Internal Medicine,101,101,104.0,76.0,131.0,107.34653465346534,10.0,115.0,crossref_assertion,Taylor and Francis Ltd.,12731,0.446,Medicine,Health Sciences
Operative Orthopadie und Traumatologie,0934-6694,General & Internal Medicine,103,103,104.0,68.0,159.0,118.15533980582525,67.0,143.0,"crossref_assertion, pubmed",Urban und Vogel,10811,0.538,Medicine,Health Sciences
Physical Therapy in Sport,1466-853X,General & Internal Medicine,100,100,104.0,70.0,168.25,134.36,,,pubmed,Churchill Livingstone,4820,1.002,Health Professions,Health Sciences
International Journal of Sport Nutrition and Exercise Metabolism,1526-484X,General & Internal Medicine,100,100,103.5,51.25,151.5,105.64,,,pubmed,Human Kinetics Publishers Inc.,6770,0.801,Health Professions,Health Sciences
BMC Ophthalmology,1471-2415,General & Internal Medicine,109,109,103.0,67.0,176.0,142.3302752293578,6.0,70.0,"crossref_assertion, pubmed",BioMed Central Ltd,7827,0.72,Medicine,Health Sciences
European Journal of Integrative Medicine,1876-3820,General & Internal Medicine,34,34,103.0,65.25,148.5,110.88235294117646,,,pubmed,Elsevier GmbH,13800,0.399,Medicine,Health Sciences
Gastro Hep Advances,2772-5723,General & Internal Medicine,100,100,103.0,38.25,170.25,129.6,92.5,186.5,pubmed,American Gastroenterological Association,10821,0.537,Medicine,Health Sciences
Neurochemical Research,0364-3190,General & Internal Medicine,101,101,103.0,79.0,151.0,125.17821782178218,14.0,97.0,"crossref_assertion, pubmed",Springer,4120,1.103,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Nutrition and Cancer,0163-5581,General & Internal Medicine,100,100,103.0,68.75,169.0,122.11,13.0,117.0,crossref_assertion,Taylor and Francis Ltd.,8438,0.677,"Biochemistry, Genetics and Molecular Biology",Life Sciences
South African Medical Journal,0256-9574,General & Internal Medicine,95,95,103.0,62.5,143.0,110.47368421052632,,,pubmed,South African Medical Association,12732,0.446,Medicine,Health Sciences
Medical Journal Armed Forces India,0377-1237,General & Internal Medicine,100,100,102.5,60.25,165.75,123.39,198.0,394.0,pubmed,Elsevier B.V.,16368,0.309,Medicine,Health Sciences
Revista de Neurologia,1576-6578,General & Internal Medicine,75,75,102.0,71.5,146.0,114.09333333333333,,,pubmed,Revista de Neurologia,16514,0.304,Medicine,Health Sciences
Archives of Medical Science,1734-1922,General & Internal Medicine,100,100,101.0,43.0,154.25,103.58,20.5,60.0,pubmed,Termedia Publishing House Ltd.,7454,0.746,Medicine,Health Sciences
Brain Tumor Pathology,1433-7398,General & Internal Medicine,103,103,101.0,55.5,142.5,105.66019417475728,10.0,97.0,"crossref_assertion, pubmed",Springer Japan,9490,0.611,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Journal of Mass Spectrometry,1096-9888,General & Internal Medicine,106,106,101.0,60.5,155.75,118.22641509433963,18.0,140.0,"crossref_assertion, pubmed",Wiley-Blackwell,13180,0.427,Chemistry,Physical Sciences
Journal of Postgraduate Medicine,0972-2823,General & Internal Medicine,97,97,101.0,55.0,127.0,103.05154639175258,,,pubmed,Wolters Kluwer Medknow Publications,16901,0.292,Medicine,Health Sciences
Neurological Research,1743-1328,General & Internal Medicine,101,101,101.0,64.0,142.0,108.04950495049505,12.0,120.0,crossref_assertion,Taylor and Francis Ltd.,10598,0.549,Medicine,Health Sciences
Regulatory Toxicology and Pharmacology,0273-2300,General & Internal Medicine,100,100,101.0,76.75,135.5,114.07,,,pubmed,Academic Press Inc.,5321,0.944,Medicine,Health Sciences
Clinical and Translational Medicine,2001-1326,General & Internal Medicine,100,100,100.0,56.5,129.25,96.48,,,pubmed,John Wiley and Sons Inc,699,3.03,"Biochemistry, Genetics and Molecular Biology",Life Sciences
International Journal of Clinical and Experimental Hypnosis,0020-7144,General & Internal Medicine,102,102,99.5,71.5,152.25,123.91176470588235,146.0,247.0,crossref_assertion,Taylor and Francis Ltd.,8424,0.677,Health Professions,Health Sciences
Frontiers in Sleep,2813-2890,General & Internal Medicine,100,100,99.0,53.75,135.0,112.83,,83.0,pubmed,Frontiers Media SA,16572,0.302,Medicine,Health Sciences
European Radiology,0938-7994,General & Internal Medicine,200,200,98.5,51.0,134.25,100.34,64.5,165.0,"crossref_assertion, pubmed",Springer Verlag,2285,1.535,Medicine,Health Sciences
Primary Care Diabetes,1878-0210,General & Internal Medicine,100,100,98.0,61.0,145.0,116.34,,,pubmed,Elsevier Ltd,6411,0.832,Medicine,Health Sciences
African Journal of Primary Health Care and Family Medicine,2071-2936,General & Internal Medicine,100,100,97.5,54.25,132.25,100.5,,,pubmed,AOSIS (Pty) Ltd,11200,0.519,Medicine,Health Sciences
European Journal of Oncology Nursing,1532-2122,General & Internal Medicine,100,100,97.5,58.75,132.0,101.94,,,pubmed,Churchill Livingstone,5387,0.936,Medicine,Health Sciences
European Journal of Pharmaceutics and Biopharmaceutics,1873-3441,General & Internal Medicine,100,100,97.5,70.0,134.0,118.15,,,pubmed,Elsevier B.V.,5647,0.905,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Journal of Toxicological Sciences,1880-3989,General & Internal Medicine,100,100,97.5,49.0,137.5,105.59,31.0,89.5,jstage,Japanese Society of Toxicology,13138,0.429,Medicine,Health Sciences
SAGE Open Medicine,2050-3121,General & Internal Medicine,100,100,97.5,76.75,129.75,112.93,28.5,109.0,pubmed,SAGE Publications Ltd,8577,0.668,Medicine,Health Sciences
"Clinical Medicine, Journal of the Royal College of Physicians of London",1470-2118,General & Internal Medicine,100,100,97.0,64.0,162.75,122.1,,,pubmed,Elsevier B.V.,6845,0.794,Medicine,Health Sciences
Clinical and Experimental Metastasis,0262-0898,General & Internal Medicine,173,173,97.0,69.0,143.0,113.51445086705202,26.0,121.0,"crossref_assertion, pubmed",Springer Science and Business Media B.V.,3061,1.307,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Current Stem Cell Research and Therapy,1574-888X,General & Internal Medicine,113,113,97.0,67.0,129.0,100.05309734513274,106.5,215.0,"crossref_assertion, pubmed",Bentham Science Publishers,11002,0.529,Medicine,Health Sciences
Revista Espanola de Sanidad Penitenciaria,1575-0620,General & Internal Medicine,100,99,97.0,22.0,187.0,121.67676767676768,69.0,205.0,pubmed,Sociedad Espanola de Sanidad Penitenciaria,18061,0.263,Medicine,Health Sciences
Scandinavian Journal of Rheumatology,1502-7732,General & Internal Medicine,101,101,97.0,35.0,138.0,97.44554455445545,33.0,139.0,crossref_assertion,Informa Healthcare,6810,0.798,Immunology and Microbiology,Life Sciences
Cerebellum,1473-4230,General & Internal Medicine,78,78,96.0,61.25,132.75,104.21794871794872,,,pubmed,Springer,4703,1.016,Medicine,Health Sciences
Current Medical Imaging,1573-4056,General & Internal Medicine,100,99,96.0,73.5,113.5,95.72727272727273,86.0,209.0,pubmed,Bentham Science Publishers,16188,0.314,Medicine,Health Sciences
International Journal of Immunogenetics,1744-313X,General & Internal Medicine,103,103,96.0,61.0,139.0,105.33980582524272,9.0,190.0,"crossref_assertion, pubmed",Wiley-Blackwell Publishing Ltd,9006,0.641,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Journal of Complementary and Integrative Medicine,2194-6329,General & Internal Medicine,100,99,96.0,55.5,136.5,103.78787878787878,,,pubmed,Walter de Gruyter GmbH,15987,0.321,Medicine,Health Sciences
Revista do Instituto de Medicina Tropical de Sao Paulo,1678-9946,General & Internal Medicine,100,100,95.5,68.75,130.75,102.78,50.0,102.0,pubmed,Instituto de Medicina Tropical de Sao Paulo,10908,0.533,Medicine,Health Sciences
Biological and Pharmaceutical Bulletin,1347-5215,General & Internal Medicine,100,94,95.0,58.0,120.0,98.41489361702128,57.0,152.0,jstage,Pharmaceutical Society of Japan,10750,0.541,Medicine,Health Sciences
Clinical Toxicology,1556-9519,General & Internal Medicine,100,100,95.0,70.0,150.75,110.99,32.0,145.0,crossref_assertion,Informa Healthcare,5315,0.944,Medicine,Health Sciences
